period_num,Lending,AMM,InterestTokenisation,RoutersZaps
1,29.857261916021198,16.587392258489853,14.928667749061043,9.952439034198955
2,37.774435879069586,20.985828741820498,18.887264486374217,12.59150189977624
3,47.17310145970118,26.2073173408353,23.586608858019222,15.724396217318043
4,45.25849059460193,25.143643065173524,22.629301066226304,15.086191415996646
5,30.383733623497736,16.87987697291118,15.191904251534192,10.12792992772524
6,64.73344593275593,35.96307869591334,32.36680273295138,21.577855194205352
7,28.288405824360716,15.715804252105054,14.144237770037341,9.429486037048731
8,33.38159374329682,18.545357279948572,16.690838005490583,11.127218481353362
9,76.53597384681622,42.520048343798024,38.26808123342497,25.512038437280502
10,35.85984524537143,19.922165705842612,17.929966810306777,11.953303842267674
11,71.38575616484839,39.65881206742098,35.69296604618201,23.795296036828372
12,59.22951980587203,32.90533743734921,29.614832887399803,19.743209760855905
