period_num,Payments,Stablecoins,Lending,AMM
1,65.50406590556929,172.5084118331643,71.8785935015325,239.5956659559645
2,82.87361193159312,218.25202725288537,90.93845674590824,303.12863738185155
3,103.4934132834292,272.5553614710769,113.56487388446578,378.5501393676209
4,99.29293446377952,261.49317899279805,108.95562550552314,363.1859553858397
5,66.65909604600745,175.550244617005,73.14602538990194,243.82044516427257
6,142.01918181916514,374.015004515721,155.8397772455235,519.4666922743039
7,62.06214101930441,163.44392113979936,68.10171772531284,227.0060614192952
8,73.23612335063198,192.87119285462686,80.36309604867753,267.8773829325905
9,167.91283437543257,442.20730399039627,184.253270371965,614.1784760770827
10,78.6731774977627,207.18996166700214,86.32925707219047,287.76461575106
11,156.61373402870504,412.45052738407884,171.854598174635,572.8495076405252
12,129.9440779208626,342.21458163480304,142.58958471784004,475.29931853948847
