period_num,Payments,Stablecoins,Lending,AMM,LiquidStaking
1,65.50406590556929,43.127102958291076,287.51437400613,179.6967494669734,71.8785935015325
2,82.87361193159312,54.56300681322134,363.753826983633,227.34647803638867,90.93845674590825
3,103.4934132834292,68.13884036776923,454.25949553786324,283.91260452571566,113.56487388446581
4,99.29293446377952,65.37329474819951,435.82250202209264,272.3894665393798,108.95562550552316
5,66.65909604600745,43.88756115425125,292.58410155960775,182.86533387320443,73.14602538990194
6,142.01918181916514,93.50375112893026,623.3591089820941,389.6000192057279,155.83977724552352
7,62.06214101930441,40.86098028494984,272.40687090125135,170.2545460644714,68.10171772531284
8,73.23612335063198,48.21779821365672,321.4523841947102,200.90803719944287,80.36309604867755
9,167.91283437543257,110.55182599759908,737.0130814878601,460.63385705781207,184.25327037196502
10,78.6731774977627,51.79749041675054,345.31702828876195,215.82346181329495,86.32925707219049
11,156.61373402870504,103.11263184601971,687.4183926985401,429.63713073039395,171.85459817463502
12,129.9440779208626,85.55364540870077,570.3583388713603,356.47448890461635,142.58958471784007
