period_num,Payments,Stablecoins,Lending,AMM,LiquidStaking
1,6.550406590556928,4.312710295829108,28.751437400613007,17.969674946697335,7.187859350153252
2,8.287361193159313,5.456300681322135,36.37538269836331,22.734647803638868,9.093845674590828
3,10.349341328342922,6.813884036776924,45.425949553786324,28.39126045257157,11.356487388446581
4,9.929293446377953,6.537329474819952,43.582250202209266,27.23894665393798,10.895562550552317
5,6.665909604600744,4.388756115425126,29.25841015596078,18.286533387320443,7.314602538990195
6,14.201918181916517,9.350375112893026,62.335910898209406,38.96000192057279,15.583977724552351
7,6.206214101930442,4.086098028494984,27.240687090125135,17.02545460644714,6.810171772531284
8,7.323612335063197,4.821779821365672,32.14523841947101,20.090803719944287,8.036309604867753
9,16.791283437543253,11.055182599759906,73.70130814878598,46.063385705781194,18.425327037196496
10,7.867317749776271,5.179749041675053,34.53170282887619,21.582346181329495,8.632925707219048
11,15.661373402870503,10.311263184601973,68.74183926985401,42.963713073039386,17.185459817463503
12,12.994407792086264,8.555364540870078,57.03583388713602,35.64744889046164,14.258958471784005
